Sites,Acessos (Março),Idioma do site,Tempo médio,Acessos Unicos,% de Acessos 18-24,% de Acessos 25-34,% de Acessos 35-44,% de Acessos 45-54 (%),% de Acessos 55-64 (%),% de Acessos 65+ (%),Acessos Idades 18-24 ,Acessos Idades 25-34,Acessos Idades 35-44,Acessos Idades 45-54 ,Acessos Idades 55-64,Acessos Idade 65+
Zoro.to,206.100.000,Inglês,00:17:28,19.320.000,"0,43","0,28","0,14","0,08","0,04","0,03","87.716.160,00","57.955.320,00","28.586.070,00","16.570.440,00","9.233.280,00","6.038.730,00"
Gogoanime.gr,112.700.000,Inglês,00:10:57,8.694.000,"0,38","0,32","0,14","0,08","0,05","0,03","43.355.690,00","36.120.350,00","15.868.160,00","8.835.680,00","5.341.980,00","3.189.410,00"
9anime.to,97.310.000,Inglês,00:09:05,7.706.000,"0,37","0,31","0,15","0,08","0,05","0,03","36.257.706,00","30.565.071,00","14.304.570,00","8.183.771,00","4.943.348,00","3.045.803,00"
Crunchyroll.com,92.230.000,Multilíngue ,00:09:56,20.800.000,"0,39","0,32","0,14","0,07","0,04","0,03","36.006.592,00","29.670.391,00","13.059.768,00","6.908.027,00","4.067.343,00","2.517.879,00"
Nyaa.si,44.340.000,Inglês,00:07:33,4.579.000,"0,32","0,35","0,17","0,09","0,05","0,03","14.038.044,00","15.603.246,00","7.489.026,00","3.804.372,00","2.119.452,00","1.285.860,00"
Animefire.net,18.600.000,Português,00:17:42,3.355.000,"0,45","0,33","0,13","0,05","0,03","0,01","8.308.620,00","6.089.640,00","2.393.820,00","1.011.840,00","533.820,00","262.260,00"
Animedao.to,17.380.000,Inglês,00:12:00,1.887.000,"0,35","0,31","0,16","0,09","0,05","0,03","6.025.646,00","5.472.962,00","2.839.892,00","1.571.152,00","921.140,00","547.470,00"
Kissanime.com.ru,16.790.000,Inglês,00:13:02,3.214.000,"0,38","0,32","0,14","0,08","0,05","0,03","6.438.965,00","5.327.467,00","2.374.106,00","1.318.015,00","827.747,00","503.700,00"
kickassanime.ro,11.740.000,Inglês,00:06:25,1.583.000,"0,38","0,33","0,14","0,08","0,05","0,03","4.413.066,00","3.817.848,00","1.692.908,00","916.894,00","569.390,00","329.894,00"
4anime.gg,11.000.000,Inglês,00:14:07,1.853.000,"0,37","0,31","0,15","0,08","0,05","0,03","4.073.300,00","3.440.800,00","1.675.300,00","917.400,00","562.100,00","331.100,00"
Animepahe.com,9.089.000,Inglês,00:08:25,1.256.000,"0,33","0,33","0,17","0,09","0,06","0,03","2.985.736,50","2.983.918,70","1.504.229,50","807.103,20","508.984,00","299.937,00"
Animesonlinehd.vip,5.275.000,Português,00:12:10,1.489.000,"0,43","0,34","0,13","0,06","0,03","0,01","2.242.930,00","1.804.577,50","707.377,50","298.565,00","153.502,50","67.520,00"
Animesdigital.org,3.656.000,Português,00:17:17,1.130.000,"0,43","0,32","0,14","0,06","0,03","0,01","1.577.929,60","1.162.608,00","513.302,40","226.306,40","125.400,80","50.452,80"
Animesbr.to,3.405.000,Português,00:07:50,1.235.000,"0,44","0,34","0,13","0,05","0,03","0,01","1.506.031,50","1.151.571,00","444.693,00","176.719,50","89.892,00","35.752,50"
Meuanime.io,3.308.000,Português,00:14:22,"745,866","0,43","0,35","0,13","0,05","0,03","0,01","1.437.326,00","1.162.431,20","421.108,40","167.384,80","86.338,80","33.080,00"
Animeshouse.net,3.041.000,Português,00:10:09,"228,237","0,41","0,33","0,14","0,07","0,04","0,02","1.240.119,80","1.015.998,10","418.745,70","197.969,10","110.996,50","57.474,90"
Animesgames.net,2.046.000,Português,00:09:30,"669,062","0,45","0,33","0,13","0,05","0,03","0,01","911.288,40","679.476,60","259.842,00","109.870,20","58.106,40","27.416,40"
Betteranime.net,2.043.000,Português,00:06:18,"550,404","0,45","0,30","0,14","0,06","0,03","0,02","916.694,10","619.641,90","279.891,00","125.235,90","67.623,30","33.913,80"
Hinatasoul.com,1.987.000,Português,00:16:38,"401,852","0,47","0,32","0,12","0,05","0,03","0,02","924.153,70","626.302,40","242.215,30","106.701,90","57.225,60","30.401,10"
Animesonline.app,1.937.000,Português,00:13:32,"735,392","0,40","0,33","0,16","0,07","0,03","0,01","769.763,80","639.403,70","300.428,70","132.684,50","66.826,50","28.086,50"
Goyabu.org,1.717.000,Português,00:09:47,"503,824","0,48","0,31","0,12","0,05","0,03","0,02","817.292,00","531.239,80","202.606,00","90.485,90","48.247,70","27.128,60"
Anitube.vip,1.614.000,Português,00:08:43,"458,819","0,40","0,30","0,15","0,08","0,05","0,02","652.863,00","478.873,80","244.682,40","122.664,00","76.503,60","38.413,20"
Animesgratis.org,1.111.000,Português,00:07:42,"107,843","0,39","0,32","0,14","0,08","0,04","0,02","436.067,50","356.408,80","157.095,40","85.547,00","48.884,00","26.997,30"
Superanimes.biz,954.392,Português,00:08:55,"391,232","0,44","0,33","0,13","0,06","0,03","0,01","422.032,14","312.849,70","123.689,20","53.445,95","28.727,20","13.552,37"
Animetvonline.cx,934.649,Português,00:07:30,"337,409","0,40","0,34","0,14","0,07","0,04","0,02","370.962,19","320.491,14","133.374,41","60.845,65","33.740,83","15.328,24"
Erai-raws.info,921.452,Inglês,00:02:13,"244,57","0,28","0,33","0,18","0,10","0,06","0,04","259.757,32","307.949,26","164.387,04","94.909,56","59.065,07","35.383,76"
Animeszone.net,920.190,Português,00:13:57,"100,657","0,44","0,30","0,13","0,07","0,04","0,02","402.399,09","278.449,49","123.121,42","62.112,83","35.795,39","18.219,76"
Animesfalse.com,868.546,Português,00:12:42,"54,628","0,39","0,35","0,15","0,07","0,04","0,01","339.167,21","299.908,93","127.241,99","57.063,47","34.133,86","11.030,53"
Meusanimes.org,846.891,Português,00:28:42,"116,845","0,44","0,35","0,13","0,05","0,03","0,01","372.039,22","292.346,77","106.030,75","43.784,26","23.458,88","9.231,11"
Anihub.tv,751.971,Português,00:14:28,"54,408","0,42","0,30","0,14","0,07","0,04","0,02","313.496,71","226.343,27","106.328,70","55.194,67","32.560,34","18.122,50"
Animesonlinetv.net,648.686,Português,00:06:45,"267,045","0,40","0,35","0,15","0,06","0,03","0,01","260.382,56","224.121,01","94.059,47","40.218,53","20.887,69","8.951,87"
Anroll.net,643.157,Português,00:11:21,"163,684","0,46","0,33","0,11","0,05","0,03","0,02","292.700,75","215.007,39","72.033,58","34.408,90","18.715,87","10.290,51"
Animesonline.in,603.468,Português,00:10:06,"154,857","0,41","0,33","0,14","0,07","0,04","0,02","245.128,70","199.627,21","82.916,50","40.613,40","22.630,05","12.491,79"
Anidong.net,582.092,Português,00:14:17,"39,059","0,37","0,31","0,15","0,08","0,06","0,03","217.469,57","182.718,68","87.721,26","44.297,20","33.062,83","16.822,46"
Donghuanosekai.com,553.900,Português,00:11:00,"81,296","0,39","0,32","0,15","0,07","0,05","0,02","213.916,18","175.752,47","85.245,21","40.767,04","25.645,57","12.573,53"
Animesonlinebr.net,534.451,Português,00:05:56,"235,679","0,41","0,33","0,15","0,07","0,04","0,02","219.124,91","174.284,47","77.602,29","35.647,88","18.759,23","9.032,22"
Aniflv.net,515.465,Português,00:03:28,"231,963","0,43","0,34","0,13","0,06","0,03","0,01","223.196,35","176.031,30","65.927,97","28.350,58","15.360,86","6.597,95"
Animesorion.com,410.304,Português,00:06:15,"95,785","0,41","0,36","0,13","0,06","0,03","0,01","167.609,18","146.273,38","54.406,31","23.797,63","13.129,73","5.087,77"
Animesorionvip.com,362.713,Português,00:11:50,"50,527","0,38","0,32","0,16","0,08","0,05","0,02","136.525,17","115.705,45","58.904,59","28.255,34","16.358,36","6.964,09"
Animesbrasil.org,350.100,Português,00:26:23,"134,923","0,42","0,34","0,13","0,06","0,03","0,01","146.516,85","118.718,91","46.878,39","21.566,16","11.553,30","4.866,39"
Animeq.xyz,286.500,Português,00:09:16,"36,892","0,38","0,35","0,15","0,07","0,04","0,02","109.357,05","99.014,40","42.602,55","19.854,45","10.887,00","4.784,55"
